# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	269784
#@/user_id	a7db7ad9-a2db-4db2-a47e-500434d77068
a 	啊	c=2024 d=2.69461 t=269624
bian ji qi 	编辑器	c=11 d=1.88859 t=266940
bian ji zhe 	编辑者	c=1 d=1 t=232483
bian jiang li 	变奖励	c=2 d=1.68386 t=207813
bian jiao 	边角	c=1 d=1 t=195409
bian jie 	边界	c=2 d=1 t=183410
bian lao 	变老	c=1 d=1 t=247334
bian li 	便利	c=5 d=1 t=264306
bian li 	遍历	c=27 d=1.51692 t=267901
bian li qi pan 	遍历棋盘	c=1 d=1 t=213125
bian liang 	变量	c=61 d=1.00007 t=264244
bian liang ming 	变量名	c=2 d=1 t=171971
bian ma 	编码	c=6 d=4.70744 t=199903
bian mang 	边忙	c=1 d=1 t=87835
bian pang 	变胖	c=1 d=1 t=232123
bian pao 	鞭炮	c=26 d=3.49494 t=256430
bian se 	变色	c=2 d=1 t=157110
bian shang 	边上	c=1 d=1 t=172179
bian shi 	便是	c=1 d=1 t=389
bian shou 	变瘦	c=1 d=1 t=73807
bian shu 	变数	c=1 d=1 t=77978
bian tian 	变天	c=1 d=1 t=90623
bian wen 	边问	c=1 d=1 t=94992
bian xian 	变现	c=1 d=1 t=262885
bian xiang 	变相	c=3 d=1 t=160652
bian xiao 	变小	c=2 d=1.74453 t=81296
bian xie 	编写	c=3 d=1 t=150932
bian yi 	编译	c=12 d=1.73832 t=259070
bian yuan 	边缘	c=11 d=1 t=258144
bian yuan hua 	边缘化	c=1 d=1 t=179459
bian zhai 	变窄	c=1 d=1 t=86983
bian zhuang xiu 	变装秀	c=2 d=0.511487 t=25047
bian zuo 	边做	c=2 d=1.74082 t=205866
biao 	标	c=8 d=1 t=256839
biao 	表	c=109 d=2.67268 t=268126
biao 	飙	c=1 d=1 t=152109
biao da 	表达	c=5 d=1 t=234492
biao da shi 	表达式	c=6 d=2.81986 t=107339
biao ge 	表格	c=13 d=1 t=232629
biao huang 	标黄	c=1 d=1 t=45804
biao ji 	标记	c=37 d=1.00001 t=261434
biao ji cheng 	标记成	c=1 d=1 t=159289
biao ji kuang 	标记框	c=1 d=1 t=25603
biao ji xia 	标记下	c=2 d=1 t=219808
biao jia 	标价	c=1 d=1 t=9569
biao li 	表里	c=3 d=1 t=267256
biao lv 	标绿	c=3 d=1 t=267264
biao lv 	表绿	c=10 d=1 t=250039
biao mian 	表面	c=3 d=1 t=217015
biao ming 	表明	c=2 d=1.94649 t=152488
biao pi 	表皮	c=1 d=1.09512 t=96903
biao qian ye 	标签页	c=1 d=1 t=159259
biao qing 	表情	c=5 d=1 t=190335
biao qing bao 	表情包	c=3 d=1 t=232589
biao sheng 	飙升	c=1 d=1 t=9838
biao shi 	标识	c=1 d=1 t=199366
biao shi 	表示	c=61 d=1.00004 t=267275
biao shu 	表述	c=1 d=1 t=13995
biao tai 	表态	c=1 d=1 t=135515
biao ti 	标题	c=4 d=2.98506 t=232271
biao xian 	表现	c=122 d=1 t=265116
biao xian zai 	表现在	c=1 d=1 t=3808
biao yan 	表演	c=2 d=1 t=183483
biao zhi 	标志	c=4 d=1 t=175013
biao zhi fu 	标志符	c=1 d=1 t=50027
biao zhi wei 	标志位	c=1 d=1 t=109588
biao zhu 	标注	c=18 d=1 t=260329
biao zhun 	标准	c=20 d=1 t=197970
bie 	别	c=187 d=1.98511 t=261674
bie 	瘪	c=3 d=1 t=246888
bie bie 	瘪瘪	c=1 d=1 t=188776
bie bie bie 	别别别	c=1 d=1 t=188777
bie chi 	别吃	c=6 d=0.100105 t=224882
bie chi la jiao 	别吃辣椒	c=1 d=1 t=224883
bie chu 	别出	c=1 d=1 t=427
bie chu qu 	别出去	c=1 d=1 t=200034
bie cui 	别催	c=1 d=1 t=26856
bie de 	别的	c=1 d=1 t=213054
bie dong 	别动	c=1 d=1 t=170258
bie gao su wo 	别告诉我	c=1 d=1 t=268187
bie ge 	别个	c=1 d=1 t=198200
bie gei 	别给	c=1 d=1 t=231081
bie ji 	别急	c=2 d=1 t=226499
bie kan 	别看	c=2 d=1 t=177036
bie kan shou ji 	别看手机	c=1 d=1 t=106486
bie li ta men 	别理他们	c=1 d=1 t=6959
bie ming 	别名	c=4 d=1 t=177795
bie nao 	别闹	c=1 d=1 t=134724
bie peng 	别碰	c=1 d=1 t=133299
bie qi 	别气	c=1 d=1 t=261670
bie qu 	别去	c=2 d=1.97531 t=179336
bie ren 	别人	c=67 d=1 t=246357
bie ren chi 	别人吃	c=1 d=1 t=167292
bie rou le 	别揉了	c=1 d=1 t=83955
bie shi 	别是	c=0 d=0.1 t=9892
bie shuo 	别说	c=5 d=1 t=90625
bie shuo hua 	别说话	c=2 d=1 t=199159
bie wang ji 	别忘记	c=7 d=1 t=146420
bie xiang 	别想	c=1 d=1 t=130461
bie yao 	别要	c=1 d=1 t=75256
bie yi wang 	别以往	c=1 d=1 t=7591
bie yong 	别用	c=1 d=1 t=235076
bin 	豳	c=1 d=1 t=29428
bing 	冰	c=19 d=1 t=248212
bing 	并	c=46 d=1.92873 t=262242
bing 	病	c=7 d=1 t=250343
bing bao zheng 	并保证	c=1 d=1 t=6546
bing bian 	病变	c=1 d=1 t=47826
bing bu 	并不	c=1 d=1 t=193200
bing bu hui 	并不会	c=1 d=1 t=23962
bing bu shi 	并不是	c=11 d=1 t=257060
bing cun 	并存	c=18 d=1 t=244707
bing dong 	冰冻	c=1 d=1 t=264811
bing fa 	并发	c=1 d=1 t=193974
bing gui 	冰柜	c=1 d=1 t=82731
bing huo 	冰火	c=2 d=1 t=60804
bing jiao 	冰窖	c=1 d=1 t=180427
bing ku 	冰窟	c=1 d=1 t=177554
bing kuai 	冰块	c=7 d=1.97531 t=255353
bing leng leng 	冰冷冷	c=1 d=1 t=60994
bing mei shi 	冰美式	c=1 d=1 t=104545
bing mei you 	并没有	c=2 d=1 t=28960
bing qi lin 	冰淇淋	c=7 d=2.44511 t=220368
bing qie 	并且	c=49 d=1.96082 t=266728
bing ren 	病人	c=2 d=1.9802 t=170065
bing ru 	并入	c=2 d=1 t=90040
bing tang 	冰糖	c=2 d=1 t=141454
bing tang xue li 	冰糖雪梨	c=1 d=1 t=26951
bing xiang 	冰箱	c=17 d=2.62119 t=263688
bing xiang li 	冰箱里	c=2 d=1 t=256145
bing xiao 	冰消	c=1 d=1 t=122058
bing xing 	并行	c=13 d=1 t=268542
bing zhu hu xi 	屏住呼吸	c=1 d=1 t=85067
bo 	播	c=35 d=1.97045 t=268416
bo 	波	c=27 d=2.05073 t=269112
bo 	薄	c=3 d=1 t=179038
bo bo ji 	钵钵鸡	c=1 d=1 t=41421
bo cai 	博彩	c=3 d=1.56523 t=132787
bo fan dan 	博反弹	c=1 d=1 t=67171
bo fang 	播放	c=190 d=1.01441 t=261838
bo fang mei ge 	播放每个	c=1 d=1 t=248290
bo guang lin lin 	波光粼粼	c=2 d=1.00009 t=29476
bo hai 	渤海	c=12 d=1.29523 t=250853
bo hai yin hang 	渤海银行	c=6 d=1.97531 t=231429
bo ke yuan 	博客园	c=1 d=1 t=190455
bo lan 	波澜	c=2 d=1.956 t=16299
bo li 	剥离	c=2 d=1 t=154555
bo li 	玻璃	c=1 d=1 t=84915
bo li jiao 	玻璃胶	c=1 d=1 t=184164
bo luo 	菠萝	c=1 d=1 t=256274
bo luo mi 	波罗蜜	c=2 d=1.00389 t=263277
bo niao suan 	玻尿酸	c=1 d=1 t=201899
bo pi 	剥皮	c=1 d=1 t=155626
bo sai dong 	波塞冬	c=10 d=1.52729 t=176062
bo shi 	博士	c=8 d=1.82182 t=167715
bo shu 	波数	c=16 d=1.18973 t=268119
bo wan 	播完	c=1 d=1 t=100175
bo yi bo 	搏一搏	c=1 d=1 t=38660
bo zi 	脖子	c=13 d=1 t=182578
bu 	不	c=1236 d=1.28075 t=269679
bu 	布	c=4 d=1 t=252469
bu 	步	c=5 d=1.98511 t=117853
bu 	补	c=26 d=1.92774 t=263678
bu 	部	c=1 d=1 t=147579
bu an 	不安	c=2 d=1 t=221789
bu an 	不按	c=1 d=1 t=176866
bu an quan 	不安全	c=1 d=1 t=146308
bu an yi 	不安逸	c=2 d=1 t=264321
bu an zhao 	不按照	c=5 d=1 t=127586
bu ao ye 	不熬夜	c=2 d=1 t=261279
bu ba 	不吧	c=1 d=1 t=116143
bu ba 	不把	c=5 d=1 t=146172
bu ban 	补办	c=1 d=1 t=168232
bu ban ka 	不办卡	c=1 d=1 t=94614
bu ban li 	不办理	c=1 d=1 t=163113
bu bao 	不抱	c=1 d=1 t=127924
bu bao cuo 	不报错	c=3 d=1 t=249317
bu bao han 	不包含	c=1 d=1 t=83291
bu bao kuo 	不包括	c=1 d=1 t=12418
bu bao xian 	不保险	c=1 d=1 t=53948
bu bao xiao 	不报销	c=1 d=1 t=247657
bu bao zheng 	不保证	c=2 d=1 t=262942
bu bi yao 	不必要	c=2 d=1.80654 t=9002
bu bian 	不变	c=15 d=1 t=264593
bu biao zhun 	不标准	c=1 d=1 t=40125
bu bo 	不播	c=4 d=1.94176 t=260524
bu bo fang 	不播放	c=5 d=1 t=260431
bu bu 	补补	c=1 d=1 t=91510
bu bu bu 	不不不	c=18 d=1 t=245411
bu bu bu shi 	不不不是	c=1 d=1 t=124876
bu bu fen 	不部分	c=1 d=1 t=234736
bu bu jing xin 	步步惊心	c=1 d=1 t=89971
bu bu qu 	不不去	c=1 d=1 t=71132
bu cai ce 	不猜测	c=1 d=1 t=47936
bu ceng 	不曾	c=2 d=1 t=12440
bu cha 	不察	c=1 d=1 t=150512
bu cha 	不差	c=0 d=0.1 t=98070
bu chang 	步长	c=5 d=1 t=169771
bu chang 	补偿	c=3 d=1 t=195186
bu chang jiu 	不长久	c=1 d=1 t=198491
bu chang yong 	不常用	c=1 d=1 t=238705
bu cheng gong 	不成功	c=2 d=1 t=205765
bu cheng shi 	不诚实	c=1 d=1 t=185336
bu cheng shu 	不成熟	c=2 d=1 t=131623
bu chi 	不吃	c=77 d=1 t=262165
bu chi bu chi 	不吃不吃	c=2 d=1 t=130238
bu chi dian 	不吃点	c=2 d=1 t=140884
bu chi fan 	不吃饭	c=15 d=1.00434 t=254621
bu chi kui 	不吃亏	c=1 d=1 t=239921
bu chi la 	不吃辣	c=1 d=1 t=144409
bu chi rou 	不吃肉	c=1 d=1 t=81581
bu chi xi gua 	不吃西瓜	c=1 d=1 t=97416
bu chi ya 	不吃呀	c=1 d=1 t=170356
bu chong 	补充	c=12 d=1 t=267532
bu chong tu 	不冲突	c=2 d=1 t=242537
bu chong xin 	不重新	c=1 d=1 t=73017
bu chong yi liao 	补充医疗	c=3 d=2.67854 t=36169
bu chou 	不抽	c=1 d=1 t=1704
bu chu 	不出	c=16 d=1 t=224636
bu chu cai 	不出材	c=1 d=1 t=7579
bu chu fa 	不触发	c=2 d=1 t=239357
bu chu jia 	不出价	c=1 d=1 t=59162
bu chu lai 	不出来	c=11 d=1.00012 t=258032
bu chu li 	不出力	c=4 d=1 t=173878
bu chu li 	不处理	c=1 d=1 t=106967
bu chu men 	不出门	c=1 d=1 t=83916
bu chu qu 	不出去	c=6 d=1 t=227741
bu chu xian 	不出现	c=4 d=1.94472 t=94012
bu chuan 	不穿	c=2 d=1 t=126730
bu chuan bang 	不穿帮	c=1 d=1 t=255848
bu chuang jian 	不创建	c=4 d=1.02687 t=215426
bu cun chu 	不存储	c=1 d=1 t=148694
bu cun zai 	不存在	c=10 d=1 t=155662
bu cuo 	不错	c=76 d=1 t=266654
bu cuo bu cuo 	不错不错	c=1 d=1 t=81394
bu cuo la 	不错啦	c=1 d=1 t=110341
bu da 	不大	c=16 d=1 t=260320
bu da 	不打	c=6 d=1 t=139098
bu da 	不搭	c=1 d=1 t=132092
bu da ka 	不打卡	c=2 d=1 t=248249
bu da kai 	不打开	c=1 d=1 t=248259
bu da ma jiang 	不打麻将	c=2 d=1 t=218030
bu da pai 	不打牌	c=3 d=1.01935 t=149298
bu da pei 	不搭配	c=1 d=1 t=8908
bu da pen ti 	不打喷嚏	c=1 d=1 t=33668
bu da rao 	不打扰	c=1 d=1 t=141518
bu da sao 	不打扫	c=1 d=1 t=248898
bu da ying 	不答应	c=1 d=1 t=216549
bu da zhe 	不打折	c=1 d=1 t=255451
bu dai 	不带	c=19 d=1 t=267885
bu dai jing 	不戴镜	c=0 d=0.1 t=73461
bu dai jing qu 	不戴镜去	c=1 d=1 t=73462
bu dai qian 	不带钱	c=1 d=1 t=79684
bu dai ru 	不带入	c=8 d=1 t=203344
bu dan 	不但	c=0 d=0.1 t=43254
bu dan ta 	不但他	c=1 d=1 t=43255
bu dan xin 	不担心	c=3 d=1 t=197667
bu dao 	不到	c=33 d=1 t=264053
bu dao ru 	不导入	c=1 d=1 t=124085
bu dao wei 	不到位	c=1 d=1 t=177934
bu de 	不得	c=45 d=1.00401 t=263826
bu de 	补的	c=3 d=1 t=215693
bu de xing 	不得行	c=10 d=1 t=253872
bu deng 	不等	c=1 d=1 t=14893
bu deng lu 	不登录	c=1 d=1 t=246555
bu di 	不低	c=2 d=1 t=123295
bu dian ji 	不惦记	c=1 d=1 t=242383
bu diao 	不掉	c=1 d=1 t=218148
bu diao yong 	不调用	c=1 d=1 t=104797
bu diao yu 	不钓鱼	c=1 d=1 t=251688
bu ding 	不定	c=5 d=1.79057 t=173467
bu ding 	补丁	c=1 d=1 t=180870
bu ding chang 	不定长	c=4 d=1.99007 t=95240
bu ding shi 	不顶事	c=1 d=1 t=18372
bu diu 	不丢	c=1 d=1 t=192151
bu dong 	不动	c=29 d=1 t=248714
bu dong 	不懂	c=10 d=1 t=253710
bu dong chan 	不动产	c=9 d=4.86223 t=168483
bu dong chan zheng 	不动产证	c=1 d=1 t=168495
bu dou 	不都	c=5 d=1 t=235920
bu dou shi 	不都是	c=4 d=1 t=245336
bu du 	不读	c=1 d=1 t=133743
bu du bo 	不赌博	c=1 d=1 t=262883
bu du che 	不堵车	c=1 d=1 t=117297
bu duan 	不断	c=6 d=1 t=199260
bu dui 	不对	c=208 d=1 t=269718
bu dui ba 	不对吧	c=1 d=1 t=139859
bu dui bi 	不对比	c=1 d=1 t=83428
bu dui fu 	不对付	c=2 d=1 t=65547
bu dui jin 	不对劲	c=2 d=1 t=131793
bu dui ya 	不对呀	c=1 d=1 t=147759
bu duo 	不多	c=19 d=1 t=259810
bu e 	不饿	c=38 d=1.54881 t=265833
bu e ling 	不恶灵	c=2 d=1 t=54172
bu er xing 	布尔型	c=1 d=1 t=48730
bu fa 	不发	c=9 d=1 t=229500
bu fa 	步伐	c=1 d=1 t=145201
bu fa gei 	不发给	c=2 d=1 t=149461
bu fa shao 	不发烧	c=1 d=1 t=200522
bu fan hui 	不返回	c=8 d=1.21111 t=206794
bu fang 	不放	c=6 d=1 t=246142
bu fang ai 	不妨碍	c=1 d=1 t=74708
bu fang bian 	不方便	c=3 d=1 t=115561
bu fang jia 	不放假	c=7 d=2.54899 t=22285
bu fang xin 	不放心	c=3 d=1 t=101187
bu fei 	不菲	c=1 d=1 t=13279
bu fei 	不飞	c=2 d=1.83527 t=188900
bu fen 	部分	c=154 d=2.5487 t=267642
bu fen ren 	部分人	c=2 d=1 t=267865
bu fu 	不服	c=1 d=0.1 t=188215
bu fu cun zai 	不复存在	c=1 d=1 t=28932
bu fu he 	不符合	c=2 d=1 t=157667
bu fu ze 	不负责	c=3 d=1 t=131279
bu gai 	不改	c=31 d=3.74574 t=268003
bu gai 	不该	c=4 d=1 t=235516
bu gai bian 	不改变	c=2 d=1.94176 t=97640
bu gai qu 	不该去	c=1 d=1 t=200408
bu gan 	不干	c=6 d=1 t=265677
bu gan 	不敢	c=24 d=1 t=250639
bu gan bu gan 	不敢不敢	c=1 d=1 t=132519
bu gan chi 	不敢吃	c=2 d=1.74082 t=41214
bu gan ga 	不尴尬	c=2 d=1 t=72983
bu gan pao 	不敢跑	c=1 d=1 t=145169
bu gan peng 	不敢碰	c=2 d=1.97531 t=133278
bu gan qu 	不敢去	c=1 d=1 t=111606
bu gan rao 	不干扰	c=1 d=1 t=116084
bu gan shou 	不敢收	c=1 d=1 t=22626
bu gan shuo 	不敢说	c=2 d=1 t=250456
bu gan wan 	不敢玩	c=1 d=1 t=54080
bu gan xing qu 	不感兴趣	c=1 d=1 t=233258
bu gan yong 	不敢用	c=1 d=1 t=78183
bu gao 	不搞	c=2 d=1 t=255234
bu gao 	不高	c=7 d=1 t=249204
bu gao su 	不告诉	c=9 d=1.65377 t=185648
bu gao xing 	不高兴	c=1 d=1 t=34335
bu gei 	不给	c=22 d=1 t=260626
bu gei huan 	不给换	c=1 d=1 t=51634
bu gen zhe 	不跟着	c=1 d=1 t=74565
bu geng 	不更	c=1 d=1 t=108776
bu geng xin 	不更新	c=5 d=1 t=260325
bu gong 	不公	c=1 d=1 t=119544
bu gong ping 	不公平	c=3 d=1 t=194564
bu gong zuo 	不工作	c=2 d=1 t=229454
bu gou 	不够	c=26 d=1 t=263969
bu gou cheng shu 	不够成熟	c=1 d=1 t=125228
bu gou xuan 	不勾选	c=2 d=1.9802 t=97240
bu gou yong 	不够用	c=7 d=1 t=264484
bu gu ding 	不固定	c=9 d=1 t=231796
bu guai wan 	不拐弯	c=1 d=1 t=57180
bu guan 	不管	c=122 d=1.02034 t=268478
bu guan ba 	不管吧	c=1 d=1 t=144730
bu guan shi 	不管是	c=4 d=1 t=242723
bu guan ta 	不管他	c=4 d=1 t=261015
bu guan ta 	不管她	c=1 d=1 t=161321
bu guan xin 	不关心	c=6 d=1 t=259840
bu guan zen me 	不管怎么	c=3 d=1 t=141325
bu guan zha yan 	不管眨眼	c=1 d=1 t=4493
bu gui 	不归	c=1 d=1 t=136119
bu gui 	不贵	c=8 d=1 t=246954
bu gui bi 	不贵比	c=1 d=1 t=150342
bu gui o 	不贵哦	c=1 d=1 t=235499
bu gui shi 	不贵是	c=1 d=1 t=22065
bu gui ze 	不规则	c=2 d=1 t=214676
bu gun dong 	不滚动	c=4 d=1 t=243795
bu guo 	不过	c=506 d=1.00505 t=269304
bu guo lai 	不过来	c=8 d=1 t=227831
bu guo min 	不过敏	c=1 d=1 t=64116
bu guo nao zi 	不过脑子	c=1 d=1 t=136210
bu guo qiu 	不国球	c=1 d=1 t=208916
bu guo qu 	不过去	c=2 d=1 t=208917
bu han hu 	不含糊	c=1 d=1 t=77029
bu hao 	不好	c=115 d=1 t=264351
bu hao bu cha 	不好不差	c=1 d=1 t=98071
bu hao bu huai 	不好不坏	c=1 d=1 t=255704
bu hao chi 	不好吃	c=21 d=1.00306 t=259725
bu hao dai 	不好带	c=2 d=1.96079 t=160369
bu hao fang 	不好放	c=1 d=1 t=72969
bu hao gai 	不好改	c=3 d=1 t=187478
bu hao gao 	不好搞	c=1 d=1 t=185664
bu hao hao 	不好好	c=2 d=1 t=265772
bu hao he 	不好喝	c=4 d=1 t=229184
bu hao kan 	不好看	c=5 d=1 t=244075
bu hao kong zhi 	不好控制	c=1 d=1 t=70109
bu hao shi 	不好使	c=2 d=1 t=123928
bu hao shi xian 	不好实现	c=2 d=1 t=156447
bu hao shuo 	不好说	c=2 d=1 t=142962
bu hao ting 	不好听	c=2 d=1 t=85701
bu hao wan 	不好玩	c=1 d=1 t=38271
bu hao yao 	不好要	c=1 d=1 t=234822
bu hao yi 	不好意	c=1 d=1 t=89742
bu hao yi si 	不好意思	c=3 d=1.98511 t=193432
bu hao zhao 	不好找	c=2 d=1 t=107600
bu hao zuo 	不好做	c=3 d=1 t=239873
bu he 	不合	c=7 d=1 t=228577
bu he 	不喝	c=48 d=1 t=264058
bu he bu he 	不喝不喝	c=1 d=1 t=142894
bu he jiu 	不喝酒	c=2 d=1.96561 t=2306
bu he ka fei 	不喝咖啡	c=1 d=1 t=226222
bu he li 	不合理	c=7 d=1 t=156648
bu he shi 	不合适	c=2 d=1 t=85549
bu hong zhong 	不红肿	c=1 d=1 t=98886
bu hou 	不厚	c=1 d=1 t=250819
bu hua qian 	不花钱	c=1 d=1 t=104488
bu hua suan 	不划算	c=2 d=1 t=199130
bu huan 	不换	c=3 d=1.99501 t=216461
bu huan qian 	不还钱	c=1 d=1 t=219198
bu huan ying 	不欢迎	c=1 d=1 t=16150
bu huang 	不慌	c=5 d=1.98511 t=198544
bu hui 	不会	c=215 d=1.00378 t=268022
bu hui 	不回	c=4 d=1 t=222004
bu hui ba 	不会吧	c=2 d=1.57407 t=26141
bu hui diao o 	不会掉哦	c=1 d=1 t=75710
bu hui dui 	不会对	c=1 d=1 t=91844
bu hui fu 	不回复	c=1 d=1 t=127266
bu hui he jiu 	不会喝酒	c=1 d=1 t=3340
bu hui jia 	不回家	c=1 d=1 t=22289
bu hui lai 	不回来	c=1 d=1 t=259544
bu hui lan 	不会烂	c=3 d=1 t=223211
bu hui qu 	不会去	c=4 d=1 t=166431
bu hui tan 	不回弹	c=1 d=1 t=26046
bu hui you 	不会有	c=0 d=0.1 t=4513
bu hui you ren 	不会有人	c=1 d=1 t=4514
bu huo 	不活	c=1 d=1 t=55935
bu huo 	捕获	c=5 d=1 t=232046
bu huo suo you 	捕获所有	c=1 d=1 t=171972
bu ji 	不及	c=1 d=1 t=23543
bu ji 	不急	c=42 d=1 t=267216
bu ji bu huan 	不急不缓	c=1 d=1 t=3273
bu ji bu ji 	不急不急	c=1 d=1 t=38123
bu ji cheng 	不继承	c=1 d=1 t=93669
bu ji de 	不记得	c=1 d=1 t=14247
bu ji ji 	不积极	c=1 d=1 t=150035
bu ji jiao 	不计较	c=1 d=1 t=92606
bu ji lu 	不记录	c=3 d=1.92312 t=181926
bu ji ru 	不计入	c=4 d=3.09939 t=259019
bu ji xu 	不继续	c=1 d=1 t=48363
bu jia 	不加	c=13 d=1 t=255536
bu jia bai 	不假白	c=14 d=1 t=259814
bu jia ban 	不加班	c=2 d=1 t=209158
bu jia cai 	不加菜	c=1 d=1 t=122170
bu jia qiang 	不加强	c=1 d=1 t=239563
bu jia you 	不加油	c=0 d=0.1 t=80980
bu jian 	不减	c=2 d=1 t=147509
bu jian 	不见	c=36 d=1 t=269591
bu jian fei 	不减肥	c=1 d=1 t=76521
bu jian kang 	不健康	c=1 d=1 t=194620
bu jian mian 	不见面	c=1 d=1 t=59936
bu jian rong 	不兼容	c=2 d=1 t=257143
bu jian yi 	不建议	c=3 d=1 t=261514
bu jian zong ying 	不见踪影	c=1 d=1 t=221451
bu jiang 	不讲	c=1 d=1 t=128537
bu jiang wu de 	不讲武德	c=3 d=2.63896 t=8102
bu jiao 	不叫	c=5 d=1 t=217250
bu jiao ao ba 	不骄傲吧	c=1 d=1 t=17346
bu jie 	不接	c=1 d=1 t=99297
bu jie hun 	不结婚	c=1 d=1 t=26380
bu jie jue 	不解决	c=3 d=1 t=217823
bu jie shao gei 	不介绍给	c=1 d=1 t=52772
bu jie shi 	不解释	c=1 d=1 t=164788
bu jie shou 	不接受	c=3 d=1.07101 t=195585
bu jin qu 	不进去	c=1 d=1 t=165817
bu jin xiang tong 	不尽相同	c=1 d=1 t=19128
bu jin xing 	不进行	c=2 d=1.0025 t=63774
bu jin zhang 	不紧张	c=2 d=1.99501 t=254147
bu jiu 	不久	c=8 d=1 t=267305
bu jiu 	不就	c=12 d=1.93707 t=186556
bu jiu jie 	不纠结	c=2 d=1 t=128548
bu jiu shi 	不就是	c=8 d=1 t=267667
bu jiu xing 	不就行	c=1 d=1 t=186537
bu ju 	布局	c=9 d=1.99021 t=254586
bu jue 	不觉	c=0 d=0.1 t=105075
bu jue de 	不觉得	c=3 d=1 t=74789
bu jue zhe 	不觉着	c=1 d=1 t=105076
bu jun yun 	不均匀	c=1 d=1 t=245969
bu ka 	不卡	c=2 d=1 t=238549
bu ka 	补卡	c=11 d=1.99005 t=205233
bu kai 	不开	c=13 d=1 t=232504
bu kai xin 	不开心	c=13 d=1.99501 t=190629
bu kai xue 	不开学	c=1 d=1 t=209655
bu kai yuan 	不开源	c=1 d=1 t=266757
bu kan 	不看	c=3 d=1 t=232505
bu kan deng 	不刊登	c=1 d=1 t=200017
bu kan dian shi 	不看电视	c=1 d=1 t=91593
bu kan jia ge 	不看价格	c=1 d=1 t=83427
bu kao 	不考	c=1 d=1 t=31085
bu kao bei 	不拷贝	c=1 d=1 t=97158
bu kao lv 	不考虑	c=15 d=1 t=269545
bu ke 	不可	c=2 d=1 t=209819
bu ke 	补课	c=1 d=1 t=209820
bu ke ai 	不可爱	c=1 d=1 t=230869
bu ke bian 	不可变	c=2 d=1.99501 t=97626
bu ke du 	不可读	c=1 d=1 t=21389
bu ke huo que 	不可或缺	c=1 d=1 t=1307
bu ke jian 	不可见	c=2 d=1 t=242943
bu ke kong 	不可控	c=1 d=1 t=187387
bu ke neng 	不可能	c=41 d=1.85214 t=269671
bu ke sou 	不咳嗽	c=2 d=1 t=173984
bu ke yi 	不可以	c=8 d=1 t=237449
bu ken 	不肯	c=1 d=1 t=83948
bu keng meng 	不坑蒙	c=1 d=1 t=106242
bu kong 	不空	c=1 d=1 t=67681
bu ku 	不苦	c=2 d=1 t=236435
bu kua zhang 	不夸张	c=1 d=1 t=112499
bu kuai 	不快	c=1 d=1 t=73934
bu kuai le 	不快乐	c=2 d=1.97045 t=221435
bu kuai ting 	不快停	c=1 d=1 t=255606
bu kui 	不愧	c=3 d=1 t=247010
bu kui shi 	不愧是	c=10 d=1 t=253504
bu kui shi ni 	不愧是你	c=2 d=1 t=32249
bu kun 	不困	c=7 d=1 t=252830
bu lai 	不来	c=16 d=1.0009 t=255974
bu lai wang 	不来往	c=2 d=1.89137 t=17945
bu lang fei 	不浪费	c=1 d=1 t=259692
bu lang ge 	布朗格	c=1 d=1 t=76721
bu lao shi 	不老实	c=1 d=1 t=73245
bu le ge 	不了歌	c=1 d=1 t=57840
bu le yi 	不乐意	c=3 d=1.45612 t=181207
bu lei 	不累	c=2 d=1 t=198315
bu leng 	不冷	c=3 d=1 t=194408
bu li 	不理	c=14 d=1.94649 t=260475
bu li jie 	不理解	c=1 d=1.09851 t=70666
bu li jie kei 	不理解剋	c=1 d=1 t=70664
bu li ni 	不理你	c=3 d=1 t=124739
bu li ren 	不理人	c=1 d=1 t=86154
bu li wai 	不例外	c=1 d=1 t=29695
bu li wo 	不理我	c=3 d=1 t=268709
bu li xiang 	不理想	c=3 d=2.88544 t=147735
bu li yu 	不利于	c=1 d=1 t=150581
bu liang 	不良	c=1 d=1 t=101217
bu liao 	不了	c=124 d=1 t=269585
bu liao jie 	不了解	c=3 d=1.62814 t=256596
bu liao le 	不了了	c=1 d=1 t=16123
bu ling 	补领	c=6 d=1 t=267502
bu liu 	不留	c=1 d=1 t=208736
bu lu lian 	不露脸	c=1 d=1 t=233348
bu lu qu 	不录取	c=1 d=1 t=31274
bu luo di 	不落地	c=1 d=1 t=64469
bu ma fan 	不麻烦	c=2 d=1 t=188774
bu mai 	不买	c=11 d=1 t=243737
bu mai 	不卖	c=5 d=1 t=161616
bu mai ba 	不买吧	c=1 d=1 t=129828
bu man 	不满	c=12 d=1 t=232890
bu man 	布满	c=1 d=1 t=29645
bu man yi 	不满意	c=4 d=1 t=97816
bu man zu 	不满足	c=4 d=1 t=252706
bu mang 	不忙	c=26 d=1.10331 t=217371
bu men 	部门	c=34 d=1.75851 t=266545
bu ming bai 	不明白	c=1 d=1 t=176128
bu ming que 	不明确	c=1 d=1 t=42593
bu na 	不拿	c=2 d=1 t=242771
bu na me 	不那么	c=1 d=1 t=34198
bu na yang 	不那样	c=1 d=1 t=7917
bu nai fan 	不耐烦	c=0 d=0.1 t=223583
bu nai shou 	不耐受	c=2 d=1 t=171147
bu nan 	不难	c=6 d=1 t=269232
bu nao 	补脑	c=1 d=1 t=119961
